headliner_name,event_date,event_venue,event_status,venue_address,artist_genre,ticket_link,n_listeners,artist_playcount,top_album,album_playcount
Who’s Bad – Ultimate Michael Jackson Tribute,2024-01-18,The Aztec Theatre,scheduled,"201 E Commerce St, San Antonio Texas 78205",[],https://ticketmaster.evyy.net/c/252938/271177/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Fwhos-bad-the-ultimate-michael-jackson-san-antonio-texas-01-18-2024%2Fevent%2F3A005F5AE8253A70,202928,1400620,,
Playboi Carti,2024-01-19,Toyota Center,rescheduled,"1510 Polk Street, Houston Texas 77002",['hip-hop-rap'],https://www.axs.com/events/492708/playboi-carti-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,Whole Lotta Red,135704390.0
Bassjackers,2024-01-19,NOTO Houston,scheduled,"3215 McKinney Street, Houston Texas 77003","['edm', 'pop']",http://www.seetickets.us/wafform.aspx?_act=refevent&_pky=577034&afflky=369NMM,202928,1400620,Derp,90782.0
Elvis Costello,2024-01-19,Majestic Theatre,scheduled,"1925 Elm Street, Dallas Texas 75201","['folk', 'pop', 'rock']",https://ticketmaster.evyy.net/c/252938/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Felvis-costello-the-imposters-with-charlie-dallas-texas-01-19-2024%2Fevent%2F0C005F33B6513354,202928,1400620,My Aim Is True,4960162.0
Jay Electronica,2024-01-19,Trees,scheduled,"2707 Elm Street, Dallas Texas 75226",['hip-hop-rap'],https://www.axs.com/events/512458/jay-electronica-tickets?cid=usaffjambase&utm_source=jambase&utm_campaign=jambase,202928,1400620,A Written Testimony,2990931.0
The Record Company,2024-01-17,Antone’s,scheduled,"305 E 5th St, Austin Texas 78701","['americana', 'blues', 'blues-rock', 'folk', 'funk', 'indie', 'rock']",https://ticketmaster.evyy.net/c/252938/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fthe-record-company-roll-with-it-austin-texas-01-17-2024%2Fevent%2F3A005F4BCD7036D8,202928,1400620,Give It Back to You,408008.0
Elvis Costello,2024-01-17,House of Blues,scheduled,"1204 Caroline St, Houston Texas 77002","['folk', 'pop', 'rock']",https://ticketmaster.evyy.net/c/252938/264167/4272?u=https%3A%2F%2Fconcerts.livenation.com%2Felvis-costello-the-imposters-with-charlie-houston-texas-01-17-2024%2Fevent%2F3A005F35A70E24E8,202928,1400620,My Aim Is True,4960162.0
Mike McClure,2024-01-12,The Post at River East,scheduled,"2925 Race Street, Fort Worth Texas 76111",[],https://www.tixr.com/groups/afallon/events/mike-mcclure-84687?utm_source=jambase&utm_campaign=jambase,202928,1400620,Twelve Pieces,14455.0
Playboi Carti,2024-01-17,American Airlines Center,rescheduled,"2500 Victory Ave, Dallas Texas 75219",['hip-hop-rap'],https://ticketmaster.evyy.net/c/252938/264167/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2Fplayboi-carti-dallas-texas-09-28-2023%2Fevent%2F0C005EE5A86E19F3,202928,1400620,Whole Lotta Red,135704390.0
The Pink Floyd Laser Spectacular,2024-01-12,Majestic Theatre,scheduled,"226 East Houston St., San Antonio Texas 78205",[],https://www.majesticempire.com/?utm_source=jambase,202928,1400620,,
HAAi,2024-01-12,It’ll Do,scheduled,"4322 Elm Street, Dallas Texas 75226",[],https://www.eventbrite.com/e/haai-at-itll-do-club-tickets-680355089387,202928,1400620,"Baby, We're Ascending",235177.0
